
permutación 01234, P_n = 0
permutación 01452763, P_n = 7
permutación 01453267, P_n = 4
permutación 01453276, P_n = 6
permutación 01453627, P_n = 6
permutación 01453672, P_n = 6
permutación 01453726, P_n = 7
permutación 01453762, P_n = 7
permutación 01456237, P_n = 4
permutación 01456273, P_n = 6
permutación 01456327, P_n = 4
permutación 01456372, P_n = 6
permutación 01456723, P_n = 4
permutación 01456732, P_n = 4
permutación 01457236, P_n = 6
permutación 01457263, P_n = 7
permutación 01457326, P_n = 6
permutación 01457362, P_n = 7
permutación 01457623, P_n = 5
permutación 01457632, P_n = 5
permutación 01462357, P_n = 6
permutación 01462375, P_n = 7
permutación 01462537, P_n = 7
permutación 01462573, P_n = 8
permutación 01462735, P_n = 8
permutación 01462753, P_n = 8
permutación 01463257, P_n = 6
permutación 01463275, P_n = 7
permutación 01463527, P_n = 7
permutación 01463572, P_n = 8
permutación 01463725, P_n = 8
permutación 01463752, P_n = 8
permutación 01465237, P_n = 5
permutación 01465273, P_n = 7
permutación 01465327, P_n = 5
permutación 01465372, P_n = 7
permutación 01465723, P_n = 7
permutación 01465732, P_n = 7
permutación 01467235, P_n = 6
permutación 01467253, P_n = 7
permutación 01467325, P_n = 6
permutación 01467352, P_n = 7
permutación 01467523, P_n = 6
permutación 01467532, P_n = 6
permutación 01472356, P_n = 6
permutación 01472365, P_n = 7
permutación 01472536, P_n = 8
permutación 01472563, P_n = 8
permutación 01472635, P_n = 8
permutación 01472653, P_n = 7
permutación 01473256, P_n = 6
permutación 01473265, P_n = 6
permutación 01473526, P_n = 8
permutación 01473562, P_n = 7
permutación 01473625, P_n = 8
permutación 01473652, P_n = 7
permutación 01475236, P_n = 7
permutación 01475263, P_n = 8
permutación 01475326, P_n = 7
permutación 01475362, P_n = 8
permutación 01475623, P_n = 6
permutación 01475632, P_n = 6
permutación 01476235, P_n = 6
permutación 01476253, P_n = 7
permutación 01476325, P_n = 7
permutación 01476352, P_n = 7
permutación 01476523, P_n = 5
permutación 01476532, P_n = 5
permutación 01523467, P_n = 4
permutación 01523476, P_n = 5
permutación 01523647, P_n = 6
permutación 01523674, P_n = 6
permutación 01523746, P_n = 7
permutación 01523764, P_n = 6
permutación 01524367, P_n = 5
permutación 01524376, P_n = 7
permutación 01524637, P_n = 7
permutación 01524673, P_n = 7
permutación 01524736, P_n = 8
permutación 01524763, P_n = 7
permutación 01526347, P_n = 6
permutación 01526374, P_n = 8
permutación 01526437, P_n = 6
permutación 01526473, P_n = 8
permutación 01526734, P_n = 6
permutación 01526743, P_n = 6
permutación 01527346, P_n = 7
permutación 01527364, P_n = 8
permutación 01527436, P_n = 7
permutación 01527463, P_n = 8
permutación 01527634, P_n = 6
permutación 01527643, P_n = 7
permutación 01532467, P_n = 5
permutación 01532476, P_n = 6
permutación 01532647, P_n = 6
permutación 01532674, P_n = 6
permutación 01532746, P_n = 7
permutación 01532764, P_n = 7
permutación 01534267, P_n = 6
permutación 01534276, P_n = 7
permutación 01534627, P_n = 6
permutación 01534672, P_n = 6
permutación 01534726, P_n = 7
permutación 01534762, P_n = 7
permutación 01536247, P_n = 7
permutación 01536274, P_n = 8
permutación 01536427, P_n = 7
permutación 01536472, P_n = 8
permutación 01536724, P_n = 7
permutación 01536742, P_n = 7
permutación 01537246, P_n = 8
permutación 01537264, P_n = 8
permutación 01537426, P_n = 8
permutación 01537462, P_n = 8
permutación 01537624, P_n = 7
permutación 01537642, P_n = 7
permutación 01542367, P_n = 4
permutación 01542376, P_n = 6
permutación 01542637, P_n = 6
permutación 01542673, P_n = 6
permutación 01542736, P_n = 7
permutación 01542763, P_n = 6
permutación 01543267, P_n = 3
permutación 01543276, P_n = 5
permutación 01543627, P_n = 5
permutación 01543672, P_n = 5
permutación 01543726, P_n = 6
permutación 01543762, P_n = 6
permutación 01546237, P_n = 6
permutación 01546273, P_n = 7
permutación 01546327, P_n = 5
permutación 01546372, P_n = 7
permutación 01546723, P_n = 6
permutación 01546732, P_n = 5
permutación 01547236, P_n = 6
permutación 01547263, P_n = 7
permutación 01547326, P_n = 7
permutación 01547362, P_n = 7
permutación 01547623, P_n = 6
permutación 01547632, P_n = 6
permutación 01562347, P_n = 4
permutación 01562374, P_n = 6
permutación 01562437, P_n = 5
permutación 01562473, P_n = 7
permutación 01562734, P_n = 6
permutación 01562743, P_n = 6
permutación 01563247, P_n = 6
permutación 01563274, P_n = 6
permutación 01563427, P_n = 6
permutación 01563472, P_n = 6
permutación 01563724, P_n = 7
permutación 01563742, P_n = 7
permutación 01564237, P_n = 5
permutación 01564273, P_n = 7
permutación 01564327, P_n = 4
permutación 01564372, P_n = 6
permutación 01564723, P_n = 6
permutación 01564732, P_n = 6
permutación 01567234, P_n = 4
permutación 01567243, P_n = 5
permutación 01567324, P_n = 6
permutación 01567342, P_n = 6
permutación 01567423, P_n = 5
permutación 01567432, P_n = 4
permutación 01572346, P_n = 6
permutación 01572364, P_n = 7
permutación 01572436, P_n = 7
permutación 01572463, P_n = 8
permutación 01572634, P_n = 7
permutación 01572643, P_n = 7
permutación 01573246, P_n = 7
permutación 01573264, P_n = 7
permutación 01573426, P_n = 8
permutación 01573462, P_n = 7
permutación 01573624, P_n = 8
permutación 01573642, P_n = 8
permutación 01574236, P_n = 7
permutación 01574263, P_n = 8
permutación 01574326, P_n = 6
permutación 01574362, P_n = 7
permutación 01574623, P_n = 7
permutación 01574632, P_n = 7
permutación 01576234, P_n = 5
permutación 01576243, P_n = 6
permutación 01576324, P_n = 7
permutación 01576342, P_n = 7
permutación 01576423, P_n = 6
permutación 01576432, P_n = 5
permutación 01623457, P_n = 4
permutación 01623475, P_n = 6
permutación 01623547, P_n = 5
permutación 01623574, P_n = 7
permutación 01623745, P_n = 6
permutación 01623754, P_n = 6
permutación 01624357, P_n = 7
permutación 01624375, P_n = 7
permutación 01624537, P_n = 6
permutación 01624573, P_n = 7
permutación 01624735, P_n = 8
permutación 01624753, P_n = 8
permutación 01625347, P_n = 6
permutación 01625374, P_n = 8
permutación 01625437, P_n = 5
permutación 01625473, P_n = 7
permutación 01625734, P_n = 7
permutación 01625743, P_n = 7
permutación 01627345, P_n = 6
permutación 01627354, P_n = 7
permutación 01627435, P_n = 7
permutación 01627453, P_n = 7
permutación 01627534, P_n = 7
permutación 01627543, P_n = 6
permutación 01632457, P_n = 5
permutación 01632475, P_n = 7
permutación 01632547, P_n = 6
permutación 01632574, P_n = 7
permutación 01632745, P_n = 7
permutación 01632754, P_n = 6
permutación 01634257, P_n = 6
permutación 01634275, P_n = 7
permutación 01634527, P_n = 6
permutación 01634572, P_n = 6
permutación 01634725, P_n = 8
permutación 01634752, P_n = 7
permutación 01635247, P_n = 7
permutación 01635274, P_n = 8
permutación 01635427, P_n = 6
permutación 01635472, P_n = 7
permutación 01635724, P_n = 8
permutación 01635742, P_n = 8
permutación 01637245, P_n = 7
permutación 01637254, P_n = 7
permutación 01637425, P_n = 8
permutación 01637452, P_n = 8
permutación 01637524, P_n = 8
permutación 01637542, P_n = 7
permutación 01642357, P_n = 6
permutación 01642375, P_n = 7
permutación 01642537, P_n = 7
permutación 01642573, P_n = 8
permutación 01642735, P_n = 8
permutación 01642753, P_n = 8
permutación 01643257, P_n = 5
permutación 01643275, P_n = 6
permutación 01643527, P_n = 6
permutación 01643572, P_n = 7
permutación 01643725, P_n = 7
permutación 01643752, P_n = 7
permutación 01645237, P_n = 6
permutación 01645273, P_n = 8
permutación 01645327, P_n = 6
permutación 01645372, P_n = 8
permutación 01645723, P_n = 6
permutación 01645732, P_n = 6
permutación 01647235, P_n = 7
permutación 01647253, P_n = 8
permutación 01647325, P_n = 7
permutación 01647352, P_n = 8
permutación 01647523, P_n = 7
permutación 01647532, P_n = 7
permutación 01652347, P_n = 4
permutación 01652374, P_n = 6
permutación 01652437, P_n = 5
permutación 01652473, P_n = 7
permutación 01652734, P_n = 6
permutación 01652743, P_n = 7
permutación 01653247, P_n = 5
permutación 01653274, P_n = 7
permutación 01653427, P_n = 6
permutación 01653472, P_n = 6
permutación 01653724, P_n = 7
permutación 01653742, P_n = 7
permutación 01654237, P_n = 4
permutación 01654273, P_n = 6
permutación 01654327, P_n = 3
permutación 01654372, P_n = 5
permutación 01654723, P_n = 6
permutación 01654732, P_n = 5
permutación 01657234, P_n = 6
permutación 01657243, P_n = 7
permutación 01657324, P_n = 7
permutación 01657342, P_n = 7
permutación 01657423, P_n = 6
permutación 01657432, P_n = 5
permutación 01672345, P_n = 4
permutación 01672354, P_n = 5
permutación 01672435, P_n = 7
permutación 01672453, P_n = 6
permutación 01672534, P_n = 6
permutación 01672543, P_n = 5
permutación 01673245, P_n = 6
permutación 01673254, P_n = 6
permutación 01673425, P_n = 6
permutación 01673452, P_n = 6
permutación 01673524, P_n = 7
permutación 01673542, P_n = 6
permutación 01674235, P_n = 6
permutación 01674253, P_n = 7
permutación 01674325, P_n = 6
permutación 01674352, P_n = 6
permutación 01674523, P_n = 6
permutación 01674532, P_n = 6
permutación 01675234, P_n = 5
permutación 01675243, P_n = 6
permutación 01675324, P_n = 6
permutación 01675342, P_n = 7
permutación 01675423, P_n = 5
permutación 01675432, P_n = 4
permutación 01723456, P_n = 4
permutación 01723465, P_n = 5
permutación 01723546, P_n = 7
permutación 01723564, P_n = 6
permutación 01723645, P_n = 6
permutación 01723654, P_n = 5
permutación 01724356, P_n = 7
permutación 01724365, P_n = 7
permutación 01724536, P_n = 7
permutación 01724563, P_n = 6
permutación 01724635, P_n = 8
permutación 01724653, P_n = 7
permutación 01725346, P_n = 7
permutación 01725364, P_n = 8
permutación 01725436, P_n = 7
permutación 01725463, P_n = 7
permutación 01725634, P_n = 6
permutación 01725643, P_n = 6
permutación 01726345, P_n = 6
permutación 01726354, P_n = 7
permutación 01726435, P_n = 7
permutación 01726453, P_n = 8
permutación 01726534, P_n = 6
permutación 01726543, P_n = 5
permutación 01732456, P_n = 5
permutación 01732465, P_n = 6
permutación 01732546, P_n = 7
permutación 01732564, P_n = 7
permutación 01732645, P_n = 7
permutación 01732654, P_n = 6
permutación 01734256, P_n = 6
permutación 01734265, P_n = 7
permutación 01734526, P_n = 6
permutación 01734562, P_n = 6
permutación 01734625, P_n = 7
permutación 01734652, P_n = 7
permutación 01735246, P_n = 8
permutación 01735264, P_n = 8
permutación 01735426, P_n = 7
permutación 01735462, P_n = 8
permutación 01735624, P_n = 8
permutación 01735642, P_n = 7
permutación 01736245, P_n = 7
permutación 01736254, P_n = 7
permutación 01736425, P_n = 8
permutación 01736452, P_n = 7
permutación 01736524, P_n = 7
permutación 01736542, P_n = 6
permutación 01742356, P_n = 6
permutación 01742365, P_n = 7
permutación 01742536, P_n = 8
permutación 01742563, P_n = 7
permutación 01742635, P_n = 8
permutación 01742653, P_n = 7
permutación 01743256, P_n = 5
permutación 01743265, P_n = 6
permutación 01743526, P_n = 7
permutación 01743562, P_n = 7
permutación 01743625, P_n = 7
permutación 01743652, P_n = 6
permutación 01745236, P_n = 6
permutación 01745263, P_n = 7
permutación 01745326, P_n = 6
permutación 01745362, P_n = 7
permutación 01745623, P_n = 6
permutación 01745632, P_n = 6
permutación 01746235, P_n = 7
permutación 01746253, P_n = 8
permutación 01746325, P_n = 7
permutación 01746352, P_n = 8
permutación 01746523, P_n = 6
permutación 01746532, P_n = 6
permutación 01752346, P_n = 6
permutación 01752364, P_n = 7
permutación 01752436, P_n = 7
permutación 01752463, P_n = 8
permutación 01752634, P_n = 7
permutación 01752643, P_n = 7
permutación 01753246, P_n = 7
permutación 01753264, P_n = 7
permutación 01753426, P_n = 8
permutación 01753462, P_n = 7
permutación 01753624, P_n = 8
permutación 01753642, P_n = 8
permutación 01754236, P_n = 6
permutación 01754263, P_n = 7
permutación 01754326, P_n = 5
permutación 01754362, P_n = 6
permutación 01754623, P_n = 6
permutación 01754632, P_n = 6
permutación 01756234, P_n = 6
permutación 01756243, P_n = 7
permutación 01756324, P_n = 7
permutación 01756342, P_n = 8
permutación 01756423, P_n = 7
permutación 01756432, P_n = 6
permutación 01762345, P_n = 4
permutación 01762354, P_n = 5
permutación 01762435, P_n = 7
permutación 01762453, P_n = 6
permutación 01762534, P_n = 6
permutación 01762543, P_n = 5
permutación 01763245, P_n = 5
permutación 01763254, P_n = 6
permutación 01763425, P_n = 6
permutación 01763452, P_n = 6
permutación 01763524, P_n = 7
permutación 01763542, P_n = 6
permutación 01764235, P_n = 6
permutación 01764253, P_n = 7
permutación 01764325, P_n = 5
permutación 01764352, P_n = 6
permutación 01764523, P_n = 6
permutación 01764532, P_n = 6
permutación 01765234, P_n = 4
permutación 01765243, P_n = 5
permutación 01765324, P_n = 5
permutación 01765342, P_n = 6
permutación 01765423, P_n = 4
permutación 01765432, P_n = 3
permutación 02134567, P_n = 3
permutación 02134576, P_n = 6
permutación 02134657, P_n = 6
permutación 02134675, P_n = 7
permutación 02134756, P_n = 7
permutación 02134765, P_n = 6
permutación 02135467, P_n = 6
permutación 02135476, P_n = 8
permutación 02135647, P_n = 7
permutación 02135674, P_n = 7
permutación 02135746, P_n = 9
permutación 02135764, P_n = 8
permutación 02136457, P_n = 7
permutación 02136475, P_n = 9
permutación 02136547, P_n = 6
permutación 02136574, P_n = 8
permutación 02136745, P_n = 7
permutación 02136754, P_n = 7
permutación 02137456, P_n = 7
permutación 02137465, P_n = 8
permutación 02137546, P_n = 8
permutación 02137564, P_n = 8
permutación 02137645, P_n = 7
permutación 02137654, P_n = 6
permutación 02143567, P_n = 5
permutación 02143576, P_n = 8
permutación 02143657, P_n = 7
permutación 02143675, P_n = 7
permutación 02143756, P_n = 7
permutación 02143765, P_n = 7
permutación 02145367, P_n = 5
permutación 02145376, P_n = 7
permutación 02145637, P_n = 5
permutación 02145673, P_n = 5
permutación 02145736, P_n = 7
permutación 02145763, P_n = 6
permutación 02146357, P_n = 7
permutación 02146375, P_n = 8
permutación 02146537, P_n = 6
permutación 02146573, P_n = 8
permutación 02146735, P_n = 7
permutación 02146753, P_n = 7
permutación 02147356, P_n = 7
permutación 02147365, P_n = 8
permutación 02147536, P_n = 8
permutación 02147563, P_n = 7
permutación 02147635, P_n = 8
permutación 02147653, P_n = 6
permutación 02153467, P_n = 5
permutación 02153476, P_n = 7
permutación 02153647, P_n = 7
permutación 02153674, P_n = 7
permutación 02153746, P_n = 8
permutación 02153764, P_n = 8
permutación 02154367, P_n = 5
permutación 02154376, P_n = 7
permutación 02154637, P_n = 7
permutación 02154673, P_n = 7
permutación 02154736, P_n = 8
permutación 02154763, P_n = 8
permutación 02156347, P_n = 5
permutación 02156374, P_n = 7
permutación 02156437, P_n = 6
permutación 02156473, P_n = 7
permutación 02156734, P_n = 5
permutación 02156743, P_n = 6
permutación 02157346, P_n = 7
permutación 02157364, P_n = 8
permutación 02157436, P_n = 8
permutación 02157463, P_n = 8
permutación 02157634, P_n = 6
permutación 02157643, P_n = 7
permutación 02163457, P_n = 5
permutación 02163475, P_n = 7
permutación 02163547, P_n = 6
permutación 02163574, P_n = 8
permutación 02163745, P_n = 7
permutación 02163754, P_n = 8
permutación 02164357, P_n = 7
permutación 02164375, P_n = 8
permutación 02164537, P_n = 7
permutación 02164573, P_n = 7
permutación 02164735, P_n = 8
permutación 02164753, P_n = 8
permutación 02165347, P_n = 6
permutación 02165374, P_n = 8
permutación 02165437, P_n = 5
permutación 02165473, P_n = 7
permutación 02165734, P_n = 7
permutación 02165743, P_n = 7
permutación 02167345, P_n = 5
permutación 02167354, P_n = 6
permutación 02167435, P_n = 7
permutación 02167453, P_n = 7
permutación 02167534, P_n = 7
permutación 02167543, P_n = 6
permutación 02173456, P_n = 5
permutación 02173465, P_n = 6
permutación 02173546, P_n = 8
permutación 02173564, P_n = 7
permutación 02173645, P_n = 7
permutación 02173654, P_n = 6
permutación 02174356, P_n = 7
permutación 02174365, P_n = 8
permutación 02174536, P_n = 7
permutación 02174563, P_n = 7
permutación 02174635, P_n = 8
permutación 02174653, P_n = 8
permutación 02175346, P_n = 7
permutación 02175364, P_n = 8
permutación 02175436, P_n = 7
permutación 02175463, P_n = 8
permutación 02175634, P_n = 7
permutación 02175643, P_n = 7
permutación 02176345, P_n = 6
permutación 02176354, P_n = 7
permutación 02176435, P_n = 7
permutación 02176453, P_n = 7
permutación 02176534, P_n = 6
permutación 02176543, P_n = 5
permutación 02314567, P_n = 3
permutación 02314576, P_n = 6
permutación 02314657, P_n = 6
permutación 02314675, P_n = 7
permutación 02314756, P_n = 7
permutación 02314765, P_n = 6
permutación 02315467, P_n = 5
permutación 02315476, P_n = 7
permutación 02315647, P_n = 5
permutación 02315674, P_n = 5
permutación 02315746, P_n = 7
permutación 02315764, P_n = 6
permutación 02316457, P_n = 5
permutación 02316475, P_n = 7
permutación 02316547, P_n = 5
permutación 02316574, P_n = 7
permutación 02316745, P_n = 5
permutación 02316754, P_n = 6
permutación 02317456, P_n = 5
permutación 02317465, P_n = 6
permutación 02317546, P_n = 7
permutación 02317564, P_n = 7
permutación 02317645, P_n = 6
permutación 02317654, P_n = 5
permutación 02341567, P_n = 3
permutación 02341576, P_n = 6
permutación 02341657, P_n = 5
permutación 02341675, P_n = 5
permutación 02341756, P_n = 5
permutación 02341765, P_n = 5
permutación 02345167, P_n = 3
permutación 02345176, P_n = 5
permutación 02345617, P_n = 3
permutación 02345671, P_n = 3
permutación 02345716, P_n = 5
permutación 02345761, P_n = 4
permutación 02346157, P_n = 5
permutación 02346175, P_n = 6
permutación 02346517, P_n = 4
permutación 02346571, P_n = 6
permutación 02346715, P_n = 5
permutación 02346751, P_n = 5
permutación 02347156, P_n = 5
permutación 02347165, P_n = 6
permutación 02347516, P_n = 6
permutación 02347561, P_n = 5
permutación 02347615, P_n = 6
permutación 02347651, P_n = 4
permutación 02351467, P_n = 5
permutación 02351476, P_n = 7
permutación 02351647, P_n = 6
permutación 02351674, P_n = 6
permutación 02351746, P_n = 7
permutación 02351764, P_n = 7
permutación 02354167, P_n = 4
permutación 02354176, P_n = 6
permutación 02354617, P_n = 6
permutación 02354671, P_n = 6
permutación 02354716, P_n = 6
permutación 02354761, P_n = 6
permutación 02356147, P_n = 5
permutación 02356174, P_n = 7
permutación 02356417, P_n = 5
permutación 02356471, P_n = 6
permutación 02356714, P_n = 5
permutación 02356741, P_n = 5
permutación 02357146, P_n = 7
permutación 02357164, P_n = 7
permutación 02357416, P_n = 7
permutación 02357461, P_n = 7
permutación 02357614, P_n = 6
permutación 02357641, P_n = 6
permutación 02361457, P_n = 5
permutación 02361475, P_n = 7
permutación 02361547, P_n = 6
permutación 02361574, P_n = 7
permutación 02361745, P_n = 7
permutación 02361754, P_n = 6
permutación 02364157, P_n = 6
permutación 02364175, P_n = 7
permutación 02364517, P_n = 5
permutación 02364571, P_n = 6
permutación 02364715, P_n = 7
permutación 02364751, P_n = 7
permutación 02365147, P_n = 6
permutación 02365174, P_n = 6
permutación 02365417, P_n = 4
permutación 02365471, P_n = 6
permutación 02365714, P_n = 7
permutación 02365741, P_n = 6
permutación 02367145, P_n = 5
permutación 02367154, P_n = 6
permutación 02367415, P_n = 7
permutación 02367451, P_n = 6
permutación 02367514, P_n = 7
permutación 02367541, P_n = 5
permutación 02371456, P_n = 5
permutación 02371465, P_n = 6
permutación 02371546, P_n = 7
permutación 02371564, P_n = 7
permutación 02371645, P_n = 7
permutación 02371654, P_n = 6
permutación 02374156, P_n = 6
permutación 02374165, P_n = 7
permutación 02374516, P_n = 7
permutación 02374561, P_n = 5
permutación 02374615, P_n = 7
permutación 02374651, P_n = 6
permutación 02375146, P_n = 7
permutación 02375164, P_n = 8
permutación 02375416, P_n = 6
permutación 02375461, P_n = 6
permutación 02375614, P_n = 7
permutación 02375641, P_n = 7
permutación 02376145, P_n = 6
permutación 02376154, P_n = 6
permutación 02376415, P_n = 6
permutación 02376451, P_n = 5
permutación 02376514, P_n = 6
permutación 02376541, P_n = 4
permutación 02413567, P_n = 5
permutación 02413576, P_n = 8
permutación 02413657, P_n = 7
permutación 02413675, P_n = 7
permutación 02413756, P_n = 7
permutación 02413765, P_n = 7
permutación 02415367, P_n = 6
permutación 02415376, P_n = 8
permutación 02415637, P_n = 6
permutación 02415673, P_n = 6
permutación 02415736, P_n = 8
permutación 02415763, P_n = 7
permutación 02416357, P_n = 7
permutación 02416375, P_n = 8
permutación 02416537, P_n = 7
permutación 02416573, P_n = 8
permutación 02416735, P_n = 7
permutación 02416753, P_n = 7
permutación 02417356, P_n = 7
permutación 02417365, P_n = 8
permutación 02417536, P_n = 8
permutación 02417563, P_n = 7
permutación 02417635, P_n = 8
permutación 02417653, P_n = 7
permutación 02431567, P_n = 4
permutación 02431576, P_n = 7
permutación 02431657, P_n = 6
permutación 02431675, P_n = 6
permutación 02431756, P_n = 6
permutación 02431765, P_n = 7
permutación 02435167, P_n = 6
permutación 02435176, P_n = 8
permutación 02435617, P_n = 6
permutación 02435671, P_n = 6
permutación 02435716, P_n = 8
permutación 02435761, P_n = 7
permutación 02436157, P_n = 6
permutación 02436175, P_n = 8
permutación 02436517, P_n = 6
permutación 02436571, P_n = 8
permutación 02436715, P_n = 6
permutación 02436751, P_n = 7
permutación 02437156, P_n = 6
permutación 02437165, P_n = 7
permutación 02437516, P_n = 8
permutación 02437561, P_n = 7
permutación 02437615, P_n = 7
permutación 02437651, P_n = 6
permutación 02451367, P_n = 5
permutación 02451376, P_n = 7
permutación 02451637, P_n = 7
permutación 02451673, P_n = 7
permutación 02451736, P_n = 7
permutación 02451763, P_n = 7
permutación 02453167, P_n = 5
permutación 02453176, P_n = 7
permutación 02453617, P_n = 6
permutación 02453671, P_n = 7
permutación 02453716, P_n = 7
permutación 02453761, P_n = 6
permutación 02456137, P_n = 5
permutación 02456173, P_n = 7
permutación 02456317, P_n = 5
permutación 02456371, P_n = 6
permutación 02456713, P_n = 5
permutación 02456731, P_n = 5
permutación 02457136, P_n = 7
permutación 02457163, P_n = 7
permutación 02457316, P_n = 7
permutación 02457361, P_n = 7
permutación 02457613, P_n = 6
permutación 02457631, P_n = 6
permutación 02461357, P_n = 7
permutación 02461375, P_n = 8
permutación 02461537, P_n = 7
permutación 02461573, P_n = 8
permutación 02461735, P_n = 8
permutación 02461753, P_n = 8
permutación 02463157, P_n = 7
permutación 02463175, P_n = 8
permutación 02463517, P_n = 7
permutación 02463571, P_n = 8
permutación 02463715, P_n = 8
permutación 02463751, P_n = 8
permutación 02465137, P_n = 6
permutación 02465173, P_n = 8
permutación 02465317, P_n = 6
permutación 02465371, P_n = 8
permutación 02465713, P_n = 8
permutación 02465731, P_n = 8
permutación 02467135, P_n = 7
permutación 02467153, P_n = 7
permutación 02467315, P_n = 7
permutación 02467351, P_n = 7
permutación 02467513, P_n = 7
permutación 02467531, P_n = 7
permutación 02471356, P_n = 7
permutación 02471365, P_n = 8
permutación 02471536, P_n = 8
permutación 02471563, P_n = 7
permutación 02471635, P_n = 8
permutación 02471653, P_n = 8
permutación 02473156, P_n = 7
permutación 02473165, P_n = 8
permutación 02473516, P_n = 8
permutación 02473561, P_n = 7
permutación 02473615, P_n = 8
permutación 02473651, P_n = 7
permutación 02475136, P_n = 8
permutación 02475163, P_n = 8
permutación 02475316, P_n = 8
permutación 02475361, P_n = 8
permutación 02475613, P_n = 7
permutación 02475631, P_n = 7
permutación 02476135, P_n = 8
permutación 02476153, P_n = 8
permutación 02476315, P_n = 7
permutación 02476351, P_n = 7
permutación 02476513, P_n = 6
permutación 02476531, P_n = 6
permutación 02513467, P_n = 5
permutación 02513476, P_n = 7
permutación 02513647, P_n = 7
permutación 02513674, P_n = 7
permutación 02513746, P_n = 8
permutación 02513764, P_n = 8
permutación 02514367, P_n = 6
permutación 02514376, P_n = 8
permutación 02514637, P_n = 7
permutación 02514673, P_n = 7
permutación 02514736, P_n = 9
permutación 02514763, P_n = 8
permutación 02516347, P_n = 7
permutación 02516374, P_n = 8
permutación 02516437, P_n = 6
permutación 02516473, P_n = 8
permutación 02516734, P_n = 7
permutación 02516743, P_n = 6
permutación 02517346, P_n = 7
permutación 02517364, P_n = 8
permutación 02517436, P_n = 8
permutación 02517463, P_n = 8
permutación 02517634, P_n = 7
permutación 02517643, P_n = 7
permutación 02531467, P_n = 6
permutación 02531476, P_n = 8
permutación 02531647, P_n = 7
permutación 02531674, P_n = 7
permutación 02531746, P_n = 8
permutación 02531764, P_n = 8
permutación 02534167, P_n = 5
permutación 02534176, P_n = 7
permutación 02534617, P_n = 6
permutación 02534671, P_n = 7
permutación 02534716, P_n = 7
permutación 02534761, P_n = 6
permutación 02536147, P_n = 7
permutación 02536174, P_n = 8
permutación 02536417, P_n = 7
permutación 02536471, P_n = 8
permutación 02536714, P_n = 7
permutación 02536741, P_n = 7
permutación 02537146, P_n = 8
permutación 02537164, P_n = 8
permutación 02537416, P_n = 8
permutación 02537461, P_n = 8
permutación 02537614, P_n = 8
permutación 02537641, P_n = 7
permutación 02541367, P_n = 6
permutación 02541376, P_n = 8
permutación 02541637, P_n = 6
permutación 02541673, P_n = 6
permutación 02541736, P_n = 8
permutación 02541763, P_n = 7
permutación 02543167, P_n = 4
permutación 02543176, P_n = 6
permutación 02543617, P_n = 6
permutación 02543671, P_n = 6
permutación 02543716, P_n = 6
permutación 02543761, P_n = 7
permutación 02546137, P_n = 7
permutación 02546173, P_n = 8
permutación 02546317, P_n = 6
permutación 02546371, P_n = 7
permutación 02546713, P_n = 7
permutación 02546731, P_n = 6
permutación 02547136, P_n = 8
permutación 02547163, P_n = 8
permutación 02547316, P_n = 7
permutación 02547361, P_n = 8
permutación 02547613, P_n = 7
permutación 02547631, P_n = 7
permutación 02561347, P_n = 5
permutación 02561374, P_n = 7
permutación 02561437, P_n = 6
permutación 02561473, P_n = 7
permutación 02561734, P_n = 7
permutación 02561743, P_n = 7
permutación 02563147, P_n = 7
permutación 02563174, P_n = 7
permutación 02563417, P_n = 6
permutación 02563471, P_n = 6
permutación 02563714, P_n = 7
permutación 02563741, P_n = 7
permutación 02564137, P_n = 7
permutación 02564173, P_n = 7
permutación 02564317, P_n = 5
permutación 02564371, P_n = 7
permutación 02564713, P_n = 7
permutación 02564731, P_n = 7
permutación 02567134, P_n = 5
permutación 02567143, P_n = 6
permutación 02567314, P_n = 7
permutación 02567341, P_n = 6
permutación 02567413, P_n = 7
permutación 02567431, P_n = 5
permutación 02571346, P_n = 7
permutación 02571364, P_n = 8
permutación 02571436, P_n = 8
permutación 02571463, P_n = 8
permutación 02571634, P_n = 7
permutación 02571643, P_n = 8
permutación 02573146, P_n = 8
permutación 02573164, P_n = 9
permutación 02573416, P_n = 7
permutación 02573461, P_n = 7
permutación 02573614, P_n = 8
permutación 02573641, P_n = 8
permutación 02574136, P_n = 9
permutación 02574163, P_n = 8
permutación 02574316, P_n = 7
permutación 02574361, P_n = 7
permutación 02574613, P_n = 8
permutación 02574631, P_n = 8
permutación 02576134, P_n = 6
permutación 02576143, P_n = 7
permutación 02576314, P_n = 8
permutación 02576341, P_n = 7
permutación 02576413, P_n = 8
permutación 02576431, P_n = 6
permutación 02613457, P_n = 5
permutación 02613475, P_n = 7
permutación 02613547, P_n = 6
permutación 02613574, P_n = 8
permutación 02613745, P_n = 7
permutación 02613754, P_n = 8
permutación 02614357, P_n = 7
permutación 02614375, P_n = 8
permutación 02614537, P_n = 7
permutación 02614573, P_n = 7
permutación 02614735, P_n = 9
permutación 02614753, P_n = 8
permutación 02615347, P_n = 7
permutación 02615374, P_n = 9
permutación 02615437, P_n = 6
permutación 02615473, P_n = 8
permutación 02615734, P_n = 7
permutación 02615743, P_n = 8
permutación 02617345, P_n = 7
permutación 02617354, P_n = 8
permutación 02617435, P_n = 8
permutación 02617453, P_n = 8
permutación 02617534, P_n = 7
permutación 02617543, P_n = 6
permutación 02631457, P_n = 6
